lexema,tipo
entero,KW_ENTERO
clase,KW_CLASE
interruptor,KW_INTERRUPTOR
caso,KW_CASO
caracter,KW_CARACTER
cadena,KW_CADENA_TIPO
si,KW_SI
de_lo_contrario,KW_SINO
demas,KW_DEMAS
mientras,KW_MIENTRAS
hacer,KW_HACER
quebrar,KW_QUEBRAR
verdadero,KW_VERDADERO
falso,KW_FALSO
bool,KW_BOOL
doble,KW_DOBLE
Imprimir,KW_IMPRIMIR
Leer,KW_LEER
LimpiarPantalla,KW_LIMPIAR_PANTALLA
