estado,tipo
1,ID
2,ENTERO
4,DECIMAL
6,CADENA
7,MAS
8,INCREMENTO
9,MENOS
10,DECREMENTO
11,DIVISION
14,ASIGNACION
15,IGUALDAD
17,DESIGUALDAD
18,SIMBOLO
19,MULTIPLICACION
20,PAREN_ABRE
21,PAREN_CIERRA
22,CORCHETE_ABRE
23,CORCHETE_CIERRA
24,LLAVE_ABRE
25,LLAVE_CIERRA
27,LITERAL_CARACTER
28,ERROR_LEX
29,SIMBOLO
30,AND_LOGICO
31,SIMBOLO
32,OR_LOGICO
33,MENOR_QUE
34,MENOR_IGUAL
35,MAYOR_QUE
36,MAYOR_IGUAL
